p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
378,114,22,2,2,0,2,2,3
378,114,22,2,2,0,2,2,3
360,104,22,2,2,0,1,2,3
372,106,20,2,2,0,1,2,3
324,88,20,2,2,0,1,2,3
324,88,20,2,2,0,1,2,3
306,82,22,0,0,0,1,2,2
306,82,22,0,0,0,1,2,2
306,88,18,0,0,0,0,1,1
306,88,18,0,0,0,1,2,2
366,108,22,0,0,0,1,2,2
396,118,22,0,0,0,1,3,3
426,128,22,0,0,0,2,3,3
426,128,22,0,0,0,2,3,3
414,128,18,0,0,0,2,3,3
414,128,18,0,0,0,2,3,3
402,120,16,0,0,0,2,3,3
330,98,14,0,0,0,1,2,2
294,88,18,2,0,0,1,3,3
294,88,18,2,0,0,1,3,3
324,98,26,4,2,0,0,2,3
324,98,26,4,2,0,0,2,3
300,90,20,4,2,0,0,1,2
300,90,20,4,2,0,0,1,2
324,102,22,4,2,0,0,2,3
324,102,22,4,2,0,0,2,3
348,110,26,4,2,0,1,3,4
348,110,26,4,2,0,1,3,4
372,114,28,4,0,0,2,3,4
372,114,28,4,0,0,2,3,4
408,124,32,4,0,0,2,3,4
408,124,32,4,0,0,2,3,4
360,110,26,2,0,0,1,2,3
348,106,22,2,0,0,1,2,3
360,114,26,2,0,0,1,2,3
372,116,30,2,0,0,1,3,3
312,98,20,0,0,0,1,2,2
312,98,20,0,0,0,1,2,2
360,110,22,0,0,0,1,2,2
360,110,22,0,0,0,1,2,2
390,116,26,0,0,0,1,3,3
402,120,24,0,0,0,2,3,3
378,114,20,0,0,0,1,2,2
426,130,18,0,0,0,2,3,3
420,134,22,0,0,0,2,3,3
420,134,22,0,0,0,2,3,3
402,132,20,0,0,0,2,3,3
402,132,20,0,0,0,2,3,3
438,142,22,0,0,0,2,3,3
438,142,22,0,0,0,2,3,3
366,116,20,0,0,0,2,2,2
360,114,20,0,0,0,2,2,2
372,120,18,0,0,0,2,2,2
